goos: linux
goarch: amd64
pkg: github.com/qatoolist/wowapi/perf/requestbench
cpu: VirtualApple @ 2.50GHz
BenchmarkRealPostgresRequests/resource-authz/warm/tenants-10-16            	       1	  11998369 ns/op	    565151 authz_query-ns/request	        58.00 bytes/request	    554534 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	   2381982 p50-ns/request	   2616900 p95-ns/request	   2616900 p99-ns/request	       179.0 pool_wait-ns/request	       179.0 poolwait-ns/request	      5100 serialization-ns/request	        19.00 sql/request	   2240792 tx-ns/request	   1560577 tx_setup-ns/request	 1625624 B/op	   11992 allocs/op
BenchmarkRealPostgresRequests/resource-authz/warm/tenants-100-16           	       1	  86474814 ns/op	   1184034 authz_query-ns/request	        58.00 bytes/request	   1260486 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	  11855117 p50-ns/request	  15348027 p95-ns/request	  15984825 p99-ns/request	   6292852 pool_wait-ns/request	   6292852 poolwait-ns/request	     17243 serialization-ns/request	        19.00 sql/request	  11241932 tx-ns/request	   9749729 tx_setup-ns/request	19303992 B/op	  117894 allocs/op
BenchmarkRealPostgresRequests/idempotent-write/cold/tenants-1-16           	       1	   2837695 ns/op	    263377 authz_query-ns/request	       314.0 bytes/request	    449213 handler_query-ns/request	         0 lockwait-ns/request	     43251 middleware-ns/request	   2651026 p50-ns/request	   2651026 p95-ns/request	   2651026 p99-ns/request	       333.0 pool_wait-ns/request	       333.0 poolwait-ns/request	     10500 serialization-ns/request	        18.00 sql/request	   2598234 tx-ns/request	   1884352 tx_setup-ns/request	   95256 B/op	     758 allocs/op
BenchmarkRealPostgresRequests/idempotent-write/cold/tenants-10-16          	       1	   5664806 ns/op	    444471 authz_query-ns/request	       314.0 bytes/request	    696406 handler_query-ns/request	         0 lockwait-ns/request	     37412 middleware-ns/request	   5162385 p50-ns/request	   5341136 p95-ns/request	   5341136 p99-ns/request	       475.0 pool_wait-ns/request	       475.0 poolwait-ns/request	      7633 serialization-ns/request	        18.00 sql/request	   5009457 tx-ns/request	   3867884 tx_setup-ns/request	  781016 B/op	    5691 allocs/op
BenchmarkRealPostgresRequests/idempotent-write/cold/tenants-100-16         	       1	  31987442 ns/op	   1064107 authz_query-ns/request	       314.0 bytes/request	   1860830 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	  24238907 p50-ns/request	  29781169 p95-ns/request	  30063214 p99-ns/request	  13719366 pool_wait-ns/request	  13719366 poolwait-ns/request	      5310 serialization-ns/request	        18.00 sql/request	  23057763 tx-ns/request	  20131960 tx_setup-ns/request	 9463200 B/op	   54394 allocs/op
BenchmarkRealPostgresRequests/idempotent-write/warm/tenants-1-16           	       1	   4882548 ns/op	     51709 authz_query-ns/request	       314.0 bytes/request	    239336 handler_query-ns/request	         0 lockwait-ns/request	     48293 middleware-ns/request	   2419066 p50-ns/request	   2419066 p95-ns/request	   2419066 p99-ns/request	       458.0 pool_wait-ns/request	       458.0 poolwait-ns/request	      8958 serialization-ns/request	        17.00 sql/request	   2362398 tx-ns/request	   2070312 tx_setup-ns/request	  158080 B/op	    1159 allocs/op
BenchmarkRealPostgresRequests/idempotent-write/warm/tenants-10-16          	       1	  34417799 ns/op	    227844 authz_query-ns/request	       314.0 bytes/request	    453467 handler_query-ns/request	         0 lockwait-ns/request	    648531 middleware-ns/request	   6634358 p50-ns/request	   8344916 p95-ns/request	   8344916 p99-ns/request	       445.0 pool_wait-ns/request	       445.0 poolwait-ns/request	      6279 serialization-ns/request	        17.00 sql/request	   6280753 tx-ns/request	   5598530 tx_setup-ns/request	 1404632 B/op	    9696 allocs/op
BenchmarkRealPostgresRequests/idempotent-write/warm/tenants-100-16         	       1	 346476304 ns/op	    365609 authz_query-ns/request	       314.0 bytes/request	    878028 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	  42281751 p50-ns/request	  48902651 p95-ns/request	  48968485 p99-ns/request	  16170999 pool_wait-ns/request	  16170999 poolwait-ns/request	      4995 serialization-ns/request	        17.00 sql/request	  31517349 tx-ns/request	  30271438 tx_setup-ns/request	17737784 B/op	   94943 allocs/op
BenchmarkRealPostgresRequests/async-enqueue/cold/tenants-1-16              	       1	   3427284 ns/op	    258544 authz_query-ns/request	       314.0 bytes/request	    258003 handler_query-ns/request	         0 lockwait-ns/request	     39001 middleware-ns/request	   3336533 p50-ns/request	   3336533 p95-ns/request	   3336533 p99-ns/request	       375.0 pool_wait-ns/request	       375.0 poolwait-ns/request	      4875 serialization-ns/request	        17.00 sql/request	   3293157 tx-ns/request	   2775735 tx_setup-ns/request	   91640 B/op	     782 allocs/op
BenchmarkRealPostgresRequests/async-enqueue/cold/tenants-10-16             	       1	   9227591 ns/op	    411395 authz_query-ns/request	       314.0 bytes/request	    354661 handler_query-ns/request	         0 lockwait-ns/request	     53412 middleware-ns/request	   8868754 p50-ns/request	   9005130 p95-ns/request	   9005130 p99-ns/request	       345.0 pool_wait-ns/request	       345.0 poolwait-ns/request	     95700 serialization-ns/request	        17.00 sql/request	   8421062 tx-ns/request	   7654280 tx_setup-ns/request	  760976 B/op	    5967 allocs/op
BenchmarkRealPostgresRequests/async-enqueue/cold/tenants-100-16            	       1	  40710986 ns/op	   1540044 authz_query-ns/request	       314.0 bytes/request	    878980 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	  30164215 p50-ns/request	  37387745 p95-ns/request	  38440422 p99-ns/request	  15539448 pool_wait-ns/request	  15539448 poolwait-ns/request	      9342 serialization-ns/request	        17.00 sql/request	  26420361 tx-ns/request	  24000344 tx_setup-ns/request	 8181128 B/op	   56515 allocs/op
BenchmarkRealPostgresRequests/async-enqueue/warm/tenants-1-16              	       1	   5371720 ns/op	     47709 authz_query-ns/request	       314.0 bytes/request	     96001 handler_query-ns/request	         0 lockwait-ns/request	     31166 middleware-ns/request	   2624693 p50-ns/request	   2624693 p95-ns/request	   2624693 p99-ns/request	       333.0 pool_wait-ns/request	       333.0 poolwait-ns/request	     16334 serialization-ns/request	        16.00 sql/request	   2577818 tx-ns/request	   2433150 tx_setup-ns/request	  157352 B/op	    1198 allocs/op
BenchmarkRealPostgresRequests/async-enqueue/warm/tenants-10-16             	       1	  36344318 ns/op	    111834 authz_query-ns/request	       314.0 bytes/request	    276806 handler_query-ns/request	         0 lockwait-ns/request	     24862 middleware-ns/request	   4227084 p50-ns/request	   4292459 p95-ns/request	   4292459 p99-ns/request	       333.0 pool_wait-ns/request	       333.0 poolwait-ns/request	      4233 serialization-ns/request	        16.00 sql/request	   3843492 tx-ns/request	   3454184 tx_setup-ns/request	 1401168 B/op	   10112 allocs/op
BenchmarkRealPostgresRequests/async-enqueue/warm/tenants-100-16            	       1	 286486169 ns/op	    444283 authz_query-ns/request	       314.0 bytes/request	    542526 handler_query-ns/request	         0 lockwait-ns/request	         0 middleware-ns/request	  22919810 p50-ns/request	  29873254 p95-ns/request	  31186558 p99-ns/request	  13979988 pool_wait-ns/request	  13979988 poolwait-ns/request	      5775 serialization-ns/request	        16.00 sql/request	  23331780 tx-ns/request	  22343878 tx_setup-ns/request	17484944 B/op	   98865 allocs/op
PASS
ok  	github.com/qatoolist/wowapi/perf/requestbench	11.808s
